Date_x,open_x,high_x,low_x,close_x,volume_x,open,high,low,close,volume,High-Low,High-Close,Low-Close,True Range,ATR,+DM,-DM,Smoothed+DM,Smoothed-DM,+DI,-DI,DX,ADX,OBV,RSI,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,positive,neutral,negative,score
2010-06-22,13.32,13.5,13.01,13.06,16289100,13.32,13.5,13.01,13.06,16289100,0.4900000000000002,0.2400000000000002,0.25,0.4900000000000002,0.4461839269779081,0.0,0.1500000000000003,0.0839621091295262,0.0868063330427861,18.817824680108533,19.45528016455962,1.6655442171159325,17.99227534654717,-1821226300,53.6332179930796,13.025721392693356,12.9891045982572,0.0366167944361546,-0.0614500676521686,0.0980668620883233,0.0,0.0,0.0,0.0
2010-06-23,13.13,13.3,12.9,13.12,17537000,13.13,13.3,12.9,13.12,17537000,0.4000000000000003,0.2400000000000002,0.1600000000000001,0.4000000000000003,0.4428850750509147,0.0,0.1099999999999994,0.0779648156202743,0.0884630235397299,17.603848043719104,19.974261613932264,6.307963843334291,17.157681667746253,-1803689300,51.62454873646209,13.040225793817456,12.998800553941852,0.0414252398756023,-0.0408750061466144,0.0823002460222167,0.3634,0.4922,0.1445,0.431
2010-06-24,13.03,13.07,12.67,12.7605,19277700,13.03,13.07,12.67,12.7605,19277700,0.4000000000000003,0.0499999999999989,0.4499999999999993,0.4499999999999993,0.4433932839758494,0.0,0.2300000000000004,0.0723959002188261,0.0985728075726064,16.327694359657787,22.231461579371928,15.3109347856298,17.025771176166508,-1822967000,53.66860574216553,12.997191056307075,12.981148661057272,0.0160423952498049,-0.0294915258673305,0.0455339211171355,0.0,0.0,0.0,0.0
2010-06-25,12.76,13.0078,12.5,12.945,48303900,12.76,13.0078,12.5,12.945,48303900,0.5077999999999996,0.2472999999999992,0.2605000000000004,0.5077999999999996,0.44799376369186,0.0,0.1699999999999999,0.06722476448891,0.1036747498888488,15.005736672519555,23.1420073874418,21.32831420419906,17.333095678168835,-1774663100,65.52353896103898,12.989161663029064,12.978470982460438,0.0106906805686257,-0.0214550845801393,0.032145765148765,0.0,0.0,0.0,0.0
2010-06-28,12.88,12.99,12.67,12.83,16084100,12.88,12.99,12.67,12.83,16084100,0.3200000000000003,0.0449999999999999,0.2750000000000003,0.3200000000000003,0.4388513519995843,0.0,0.0,0.062422995596845,0.0962694106110739,14.22417757457522,21.93667859798802,21.328314204199064,17.618468430028138,-1790747200,60.128152128978925,12.964675253332285,12.967473131907813,-0.002797878575528,-0.017723643379217,0.014925764803689,0.0,0.0,0.0,0.0
2010-06-29,12.65,12.65,12.25,12.32,29442500,12.65,12.65,12.25,12.32,29442500,0.4000000000000003,0.1799999999999997,0.5800000000000001,0.5800000000000001,0.4489333982853283,0.0,0.4199999999999999,0.0579642101970704,0.1193930241388543,12.911538864887506,26.594818873995152,34.63564041906194,18.833980714959125,-1820189700,52.33897085282478,12.865494445127318,12.9195121591739,-0.0540177140465818,-0.02498245751269,-0.0290352565338918,0.0,0.0,0.0,0.0
2010-06-30,12.3,12.47,12.0,12.02,25783300,12.3,12.47,12.0,12.02,25783300,0.4700000000000006,0.1500000000000003,0.3200000000000003,0.4700000000000006,0.4504381555506621,0.0,0.25,0.0538239094687082,0.1287220938432219,11.949234052543424,28.5770848355106,41.02975853518386,20.41939341640375,-1845973000,40.69003285870756,12.73541837664619,12.852881628864722,-0.1174632522185312,-0.0434786164538582,-0.073984635764673,0.0,0.0,0.0,0.0
2010-07-01,12.01,12.18,11.73,12.0,27308500,12.01,12.18,11.73,12.0,27308500,0.4499999999999993,0.1600000000000001,0.2899999999999991,0.4499999999999993,0.4504068587256148,0.0,0.2699999999999996,0.0499793445066576,0.1388133728544203,11.096488327924146,30.819551293508297,47.0537368122426,22.321846516106525,-1873281500,36.72566371681416,12.622277087931392,12.78970521191178,-0.1674281239803878,-0.0682685179591642,-0.0991596060212236,0.0021,0.5139,0.484,-0.7176
2010-07-02,12.03,12.11,11.76,12.0,21203700,12.03,12.11,11.76,12.0,21203700,0.3499999999999996,0.1099999999999994,0.2400000000000002,0.3499999999999996,0.4432349402452137,0.0,0.0,0.0464093913276106,0.1288981319362474,10.47060759739187,29.08122086786215,47.053736812242605,24.088410108687675,-1894485200,36.72566371681416,12.526542151326565,12.731208529547946,-0.2046663782213826,-0.0955480900116079,-0.1091182882097747,0.0,0.0,0.0,0.0
2010-07-06,12.12,12.17,11.61,11.78,30163700,12.12,12.17,11.61,11.78,30163700,0.5600000000000005,0.1699999999999999,0.3900000000000005,0.5600000000000005,0.4515753016562699,0.0,0.1500000000000003,0.0430944348042099,0.1304054082265155,9.543133702430104,28.877887640936013,50.32337314959041,25.962336040180727,-1924648900,17.09648732770117,12.41168951266094,12.66074863847032,-0.2490591258093815,-0.1262502971711626,-0.1228088286382188,0.0009,0.4875,0.5117,-0.9489
2010-07-07,11.84,12.21,11.715,12.19,26353900,11.84,12.21,11.715,12.19,26353900,0.495000000000001,0.4300000000000015,0.0649999999999995,0.495000000000001,0.4546770658236793,0.0400000000000009,0.0,0.0428734037467664,0.1210907362103358,9.429418585056238,26.6322507362388,47.70392628780497,27.515306772153888,-1898295000,26.275207591933537,12.377583433790024,12.625878368954,-0.248294935163976,-0.1506592247697253,-0.0976357103942507,0.0,0.0,0.0,0.0
2010-07-08,12.3,12.308,11.915,12.11,26422700,12.3,12.308,11.915,12.11,26422700,0.3930000000000007,0.1180000000000003,0.2750000000000003,0.3930000000000007,0.450271561121988,0.0979999999999989,0.0,0.0468110177648544,0.1124413979095975,10.396174621424151,24.971907537179504,41.2115444948141,28.493609466629614,-1924717700,25.18276260100035,12.336416751668482,12.58766515643889,-0.2512484047704078,-0.1707770607698618,-0.0804713440005459,0.0,0.0,0.0,0.0
2010-07-09,12.15,12.31,12.01,12.3,18687300,12.15,12.31,12.01,12.3,18687300,0.3000000000000007,0.200000000000001,0.0999999999999996,0.3000000000000007,0.4395378781847032,0.0020000000000006,0.0,0.0436102307816506,0.1044098694874834,9.921836762228867,23.75446455688813,41.075258424555386,29.39229867791003,-1906030400,30.945401245877637,12.330814174488715,12.566356626332306,-0.2355424518435906,-0.1837301389846076,-0.051812312858983,0.0614,0.8797,0.0589,0.0212
2010-07-12,12.2,12.47,12.18,12.31,13674300,12.2,12.47,12.18,12.31,13674300,0.2900000000000009,0.1699999999999999,0.120000000000001,0.2900000000000009,0.4288566011715102,0.1600000000000001,0.0,0.0519237857258184,0.0969520216669489,12.107493643324576,22.60709556576825,30.24550242897157,29.45324180298585,-1892356100,32.136141406543814,12.327611993798143,12.547367246603988,-0.219755252805843,-0.1909351617488547,-0.0288200910569883,0.0,0.0,0.0,0.0
2010-07-13,12.5,12.62,12.46,12.52,23246500,12.5,12.62,12.46,12.52,23246500,0.1599999999999983,0.3099999999999987,0.1500000000000003,0.3099999999999987,0.4203668439449737,0.1499999999999985,0.0,0.0589292296025455,0.0900268772621668,14.01852464136288,21.41626499780545,20.877054532490792,28.840656997950493,-1869109600,39.88385162982388,12.35721014859843,12.54534004315184,-0.1881298945534109,-0.1903741083097659,0.002244213756355,0.0,0.0,0.0,0.0
2010-07-14,12.67,12.78,12.46,12.53,20956900,12.67,12.78,12.46,12.53,20956900,0.3199999999999985,0.2599999999999998,0.0599999999999987,0.3199999999999985,0.4131977836631897,0.1600000000000001,0.0,0.0661485703452209,0.0835963860291549,16.008936388473142,20.231566899520672,11.651688381619284,27.612873525355408,-1848152700,38.73615883925163,12.38379320266021,12.544203743659113,-0.1604105409989031,-0.1843813948475934,0.0239708538486902,0.0,0.0,0.0,0.0
2010-07-15,12.51,12.57,12.27,12.46,19689300,12.51,12.57,12.27,12.46,19689300,0.3000000000000007,0.0400000000000009,0.2599999999999998,0.3000000000000007,0.4051122276872477,0.0,0.1900000000000012,0.0614236724634194,0.0911966441699296,15.162137369706684,22.511451873611367,19.50786917710048,27.0339446433372,-1867842000,43.550118051083935,12.39551732532787,12.537966429313991,-0.1424491039861237,-0.1759949366752995,0.0335458326891757,0.4644,0.0928,0.4427,0.0017
2010-07-16,12.42,12.45,12.18,12.19,20576600,12.42,12.45,12.18,12.19,20576600,0.2699999999999996,0.0100000000000015,0.2800000000000011,0.2800000000000011,0.3961756399953015,0.0,0.0899999999999998,0.0570362672874608,0.0911111695863632,14.396712349133155,22.997670827879222,23.000669480312144,26.74585356026398,-1888418600,34.36853002070393,12.363899275277427,12.512191138253698,-0.1482918629762704,-0.1704543219354937,0.0221624589592233,0.0,0.0,0.0,0.0
2010-07-19,12.25,12.4,12.19,12.378,13306900,12.25,12.4,12.19,12.378,13306900,0.2100000000000008,0.2100000000000008,0.0,0.2100000000000008,0.3828773799956372,0.0,0.0,0.0529622481954994,0.084603228901623,13.83269186497852,22.09669030397854,23.000669480312148,26.478340411695992,-1875111700,40.91639871382637,12.36606861754244,12.502251053938608,-0.1361824363961687,-0.1635999448276287,0.0274175084314599,0.0,0.0,0.0,0.0
2010-07-20,12.12,12.37,11.89,12.34,22747600,12.12,12.37,11.89,12.34,22747600,0.4799999999999986,0.0080000000000008,0.4879999999999995,0.4879999999999995,0.3903861385673773,0.0,0.2999999999999989,0.0491792304672494,0.099988712551507,12.597586238006636,25.612772246074467,34.06193117368976,27.02002546612412,-1897859300,50.49603174603173,12.362058060997448,12.490232457350563,-0.1281743963531152,-0.156514835132726,0.0283404387796107,0.0048,0.1326,0.8626,-0.9888
2010-07-21,12.6,12.71,12.17,12.2,29922300,12.6,12.71,12.17,12.2,29922300,0.5400000000000009,0.370000000000001,0.1699999999999999,0.5400000000000009,0.4010728429554219,0.3400000000000016,0.0,0.0699521425767317,0.0928466616549708,17.441256321736727,23.14957576554004,14.063075700270232,26.09452905427741,-1927781600,54.84913793103447,12.337126051613224,12.468733756806078,-0.1316077051928523,-0.1515334091447513,0.0199257039518989,0.0066,0.8029,0.1905,-0.9331
2010-07-22,12.34,12.61,12.33,12.45,21862900,12.34,12.61,12.33,12.45,21862900,0.2799999999999993,0.4100000000000001,0.1300000000000007,0.4100000000000001,0.4017104970300347,0.0,0.0,0.064955560964108,0.0862147572510443,16.169744491205446,21.461912966789694,14.06307570027024,25.235139528991187,-1905918700,60.786193672099685,12.35449127444196,12.467346071116738,-0.1128547966747781,-0.1437976866507566,0.0309428899759785,0.0,0.0,0.0,0.0
2010-07-23,12.39,12.55,12.25,12.51,14214700,12.39,12.55,12.25,12.51,14214700,0.3000000000000007,0.1000000000000014,0.1999999999999993,0.3000000000000007,0.3944454615278894,0.0,0.08,0.0603158780381003,0.0857708460188269,15.291309932801871,21.74466545681435,17.42455938077388,24.677240946975665,-1891704000,61.88257222739979,12.378415693758582,12.470505621404389,-0.0920899276458051,-0.1334561348497663,0.0413662072039612,0.0,0.0,0.0,0.0
2010-07-26,12.49,12.635,12.29,12.56,15642600,12.49,12.635,12.29,12.56,15642600,0.3450000000000006,0.125,0.2200000000000006,0.3450000000000006,0.3909136428473259,0.084999999999999,0.0,0.0620790296068073,0.0796443570174821,15.880497072099576,20.37390059793533,12.39409234358804,23.79987318959084,-1876061400,69.73684210526315,12.406351740872646,12.477134834633691,-0.0707830937610456,-0.1209215266320222,0.0501384328709765,0.0,0.0,0.0,0.0
2010-07-27,12.58,12.67,12.3,12.61,19061900,12.58,12.67,12.3,12.61,19061900,0.3699999999999992,0.1099999999999994,0.2599999999999998,0.3699999999999992,0.389419811215374,0.0350000000000001,0.0,0.0601448132063211,0.0739554743733762,15.44472352821753,18.991194655085017,10.29875581649836,22.83550766294137,-1856999500,62.99504950495048,12.437682242276852,12.4869766987349,-0.0492944564580462,-0.106596112597227,0.0573016561391808,0.0,0.0,0.0,0.0
2010-07-28,12.63,12.65,12.26,12.35,18344100,12.63,12.65,12.26,12.35,18344100,0.3900000000000005,0.0400000000000009,0.3499999999999996,0.3900000000000005,0.3894612532714188,0.0,0.0400000000000009,0.0558487551201553,0.0715300833467066,14.340002927385925,18.36641841668822,12.310779730206752,22.08374138203176,-1875343600,56.6815144766147,12.424192666541954,12.476830276606387,-0.0526376100644352,-0.0958044120906686,0.0431668020262334,0.0,0.0,0.0,0.0
2010-07-29,12.35,12.39,11.78,11.94,36363600,12.35,12.39,11.78,11.94,36363600,0.6100000000000012,0.0400000000000009,0.5700000000000003,0.6100000000000012,0.4052140208948889,0.0,0.4800000000000004,0.0518595583258585,0.100706505964799,12.798066121041437,24.85267063128645,32.01691533831592,22.793253807480628,-1911707200,41.07142857142854,12.34970148707396,12.437065070931842,-0.0873635838578827,-0.0941162464441115,0.0067526625862287,0.0,0.0,0.0,0.0
2010-07-30,11.89,11.92,11.66,11.8,26268400,11.89,11.92,11.66,11.8,26268400,0.2599999999999998,0.0199999999999995,0.2799999999999993,0.2799999999999993,0.3962701622595397,0.0,0.1199999999999992,0.0481553041597258,0.102084612681599,12.152139814197309,25.76136747200716,35.8954595128207,23.72912564357635,-1937975600,38.11742777260018,12.26513202752412,12.38987506567763,-0.124743038153511,-0.1002416047859914,-0.0245014333675196,0.0,0.0,0.0,0.0
2010-08-02,12.0,12.15,11.94,12.01,20219400,12.0,12.15,11.94,12.01,20219400,0.2100000000000008,0.3499999999999996,0.1399999999999988,0.3499999999999996,0.3929651506695725,0.2300000000000004,0.0,0.0611442110054597,0.0947928546329134,15.559703169931533,24.122458307408696,21.578348604742125,23.575498712231045,-1917756200,38.11742777260018,12.225880946366562,12.361736171923733,-0.1358552255571705,-0.1073643289402272,-0.0284908966169432,0.0,0.0,0.0,0.0
2010-08-03,11.87,11.91,11.65,11.82,23634000,11.87,11.91,11.65,11.82,23634000,0.2599999999999998,0.0999999999999996,0.3599999999999994,0.3599999999999994,0.3906104970503173,0.0,0.2899999999999991,0.0567767673622125,0.1087362221591338,14.535392108240952,27.83750641118247,31.392977038953163,24.133890021282625,-1941390200,34.73774720550301,12.16343772384863,12.321607566596048,-0.1581698427474176,-0.1175254317016653,-0.0406444110457522,0.0,0.0,0.0,0.0
2010-08-04,11.88,12.02,11.65,11.87,17594100,11.88,12.02,11.65,11.87,17594100,0.3699999999999992,0.1999999999999993,0.1699999999999999,0.3699999999999992,0.3891383186895804,0.1099999999999994,0.0,0.0605784268363402,0.1009693491477671,15.5673250170627,25.946904814663448,25.00246262467919,24.19593092152524,-1923796100,37.20728534258452,12.118293458641148,12.2881551542556,-0.1698616956144523,-0.1279926844842227,-0.0418690111302295,0.0,0.0,0.0,0.0
2010-08-05,11.86,11.97,11.7,11.81,14579900,11.86,11.97,11.7,11.81,14579900,0.2700000000000013,0.1000000000000014,0.1699999999999999,0.2700000000000013,0.3806284387831819,0.0,0.0,0.0562513963480302,0.0937572527800694,14.778558461858074,24.63222482266402,25.002462624679183,24.253540328893376,-1938376000,40.935114503816806,12.070863695773278,12.252736253940371,-0.1818725581670932,-0.1387686592207968,-0.0431038989462964,0.86,0.0249,0.1151,0.7639
2010-08-06,11.7,11.87,11.66,11.84,15889700,11.7,11.87,11.66,11.84,15889700,0.209999999999999,0.0599999999999987,0.1500000000000003,0.209999999999999,0.3684406931558117,0.0,0.0399999999999991,0.052233439466028,0.0899174490100644,14.17689208502786,24.404863708156903,26.509865642080904,24.41470642269249,-1922486300,36.11971104231162,12.03534620411585,12.222163198092936,-0.1868169939770858,-0.1483783261720546,-0.0384386678050311,0.0153,0.9825,0.0022,0.747
2010-08-09,11.96,11.97,11.73,11.87,9237100,11.96,11.97,11.73,11.87,9237100,0.2400000000000002,0.1300000000000007,0.1099999999999994,0.2400000000000002,0.3592663579303967,0.1000000000000014,0.0,0.0556453366470261,0.0834947740807741,15.48860209666688,23.24035419340605,20.01539116799311,24.10046961878539,-1913249200,37.82383419689114,12.009908326559565,12.196077035271236,-0.1861687087116728,-0.1559364026799783,-0.0302323060316944,0.0028,0.9921,0.0051,-0.2826
2010-08-10,11.76,11.81,11.385,11.53,25199900,11.76,11.81,11.385,11.53,25199900,0.4250000000000007,0.0599999999999987,0.4849999999999994,0.4849999999999994,0.3682473323639397,0.0,0.3450000000000006,0.0516706697436671,0.1021737187892903,14.03151230233513,27.74594947732351,32.82735855835529,24.723818828754663,-1938449100,34.272300469483525,11.936076276319632,12.146737995621516,-0.2106617193018838,-0.1668814660043594,-0.0437802532975244,0.0,0.0,0.0,0.0
2010-08-11,11.37,11.37,11.11,11.209,20777200,11.37,11.37,11.11,11.209,20777200,0.2599999999999998,0.1600000000000001,0.4199999999999999,0.4199999999999999,0.3719439514808011,0.0,0.2750000000000003,0.0479799076191194,0.1145184531614838,12.899768211876973,30.78916936424359,40.94721031198658,25.88263250612837,-1959226300,21.808268968650538,11.824218387655073,12.077275921871774,-0.2530575342167012,-0.1841166796468277,-0.0689408545698734,0.0,0.0,0.0,0.0
2010-08-12,10.99,11.22,10.94,11.16,27943900,10.99,11.22,10.94,11.16,27943900,0.2800000000000011,0.011000000000001,0.2690000000000001,0.2800000000000011,0.3653765263750297,0.0,0.1699999999999999,0.0445527713606109,0.1184814207928064,12.193660004003954,32.42721199642551,45.34548762791282,27.27283644339869,-1987170200,19.17808219178072,11.722030943400446,12.009329557288678,-0.2872986138882325,-0.2047530664951087,-0.0825455473931238,0.0,0.0,0.0,0.0
